year,tmID,confID,avg_per,avg_height,players_awarded,playoff
6,DET,0,18.04562918808493,71.86666666666666,2.0,1.0
7,DET,0,18.520073455185017,72.46153846153847,2.0,1.0
8,DET,0,17.890403390423458,72.23076923076923,3.0,1.0
9,DET,0,18.539517375232425,72.70588235294117,6.0,1.0
10,DET,0,18.75423812091815,72.46666666666667,8.0,1.0
1,HOU,1,15.0,72.08333333333333,0.0,1.0
2,HOU,1,15.2190470257477,71.9090909090909,1.0,1.0
3,HOU,1,15.917773580123711,71.35714285714286,4.0,1.0
4,HOU,1,19.176064974746296,71.66666666666667,7.0,1.0
5,HOU,1,16.295205498880136,72.0,7.0,0.0
6,HOU,1,18.70261530718265,71.5,9.0,1.0
7,HOU,1,18.707644119424582,71.76923076923077,10.0,1.0
8,HOU,1,18.771529969619884,71.4,12.0,0.0
9,HOU,1,19.09043996464025,71.28571428571429,3.0,0.0
1,IND,0,15.0,72.33333333333333,0.0,0.0
2,IND,0,15.72150530329886,71.92307692307692,0.0,0.0
3,IND,0,16.779459238949283,71.15384615384616,0.0,1.0
4,IND,0,16.428444810013527,71.3076923076923,1.0,0.0
5,IND,0,18.457415750642102,72.58333333333333,1.0,0.0
6,IND,0,19.20455017046706,71.66666666666667,2.0,1.0
7,IND,0,16.38095701193444,71.66666666666667,2.0,1.0
8,IND,0,18.13434814718531,72.58333333333333,4.0,1.0
9,IND,0,18.40729630700399,72.0,6.0,1.0
10,IND,0,18.806465332991056,71.85714285714286,9.0,1.0
11,IND,0,19.91664728358445,71.54545454545455,6.0,-1.0
1,LAS,1,15.0,72.63636363636364,0.0,1.0
2,LAS,1,20.039402407469527,70.9090909090909,0.0,1.0
3,LAS,1,18.065859055768723,72.76923076923077,3.0,1.0
4,LAS,1,18.85577625484463,72.33333333333333,6.0,1.0
5,LAS,1,21.54158152324069,72.15384615384616,6.0,1.0
6,LAS,1,20.16353448373353,72.35714285714286,8.0,1.0
7,LAS,1,19.87043054454052,72.64285714285714,8.0,1.0
8,LAS,1,17.744323650576636,72.6,3.0,0.0
9,LAS,1,18.144619175552087,67.4,10.0,1.0
10,LAS,1,20.93746027514945,71.36363636363636,16.0,1.0
11,LAS,1,20.27611982097101,72.81818181818181,6.0,-1.0
1,MIA,0,15.0,71.53846153846153,0.0,0.0
2,MIA,0,13.857649005211927,71.91666666666667,0.0,1.0
3,MIA,0,15.408166063942216,72.2,2.0,0.0
1,MIN,1,15.0,70.76923076923077,0.0,0.0
2,MIN,1,14.507025854907678,72.25,1.0,0.0
3,MIN,1,15.489314077412253,72.0,1.0,0.0
4,MIN,1,15.731720831774233,72.54545454545455,0.0,1.0
5,MIN,1,15.534492240055028,73.0,0.0,1.0
6,MIN,1,16.41880522618063,71.33333333333333,0.0,0.0
7,MIN,1,15.793132768704684,72.0,0.0,0.0
8,MIN,1,16.89323508586872,71.41666666666667,1.0,0.0
9,MIN,1,17.882307624288497,71.8,1.0,0.0
10,MIN,1,19.314508451049225,72.76923076923077,3.0,0.0
11,MIN,1,23.20732364256091,72.63636363636364,3.0,-1.0
1,NYL,0,15.0,72.23076923076923,0.0,1.0
2,NYL,0,17.26850218335734,71.6,1.0,1.0
3,NYL,0,18.33293090617778,72.0909090909091,2.0,1.0
4,NYL,0,18.436704547733974,71.66666666666667,1.0,0.0
5,NYL,0,17.944121521539778,72.08333333333333,1.0,1.0
6,NYL,0,16.96809778659113,71.93333333333334,0.0,1.0
7,NYL,0,14.474607359862112,72.21428571428571,0.0,0.0
8,NYL,0,12.661130018860002,72.35714285714286,0.0,1.0
9,NYL,0,14.566346015975917,71.84615384615384,1.0,1.0
10,NYL,0,16.741721339445515,72.72727272727273,1.0,0.0
11,NYL,0,18.181142035970325,73.5,2.0,-1.0
1,ORL,0,15.0,71.15384615384616,0.0,1.0
2,ORL,0,14.930606100511325,72.16666666666667,0.0,0.0
3,ORL,0,14.628245392308472,72.5,0.0,0.0
1,PHO,1,15.0,72.21428571428571,0.0,1.0
2,PHO,1,14.675971724878597,71.5,0.0,0.0
3,PHO,1,13.358122839922467,73.06666666666666,0.0,0.0
4,PHO,1,14.954004561703208,71.57142857142857,0.0,0.0
5,PHO,1,16.148445621111563,73.35714285714286,0.0,0.0
6,PHO,1,16.938384203877483,73.06666666666666,1.0,0.0
7,PHO,1,17.108375913972832,71.875,2.0,0.0
8,PHO,1,17.96064392547098,72.15384615384616,3.0,1.0
9,PHO,1,16.6714848354578,72.14285714285714,4.0,0.0
10,PHO,1,21.3090274954048,71.83333333333333,4.0,1.0
11,PHO,1,20.55671133386463,72.33333333333333,6.0,-1.0
1,POR,1,15.0,72.16666666666667,0.0,0.0
2,POR,1,16.75941934279456,71.61538461538461,0.0,0.0
3,POR,1,16.09601096120513,71.6923076923077,1.0,0.0
1,SAC,1,15.0,71.16666666666667,0.0,1.0
2,SAC,1,18.706559138342275,71.76923076923077,0.0,1.0
3,SAC,1,18.352965923705412,72.64285714285714,0.0,0.0
4,SAC,1,18.069336130063665,72.63636363636364,0.0,1.0
5,SAC,1,18.257782302427454,72.5,1.0,1.0
6,SAC,1,18.922669442240306,72.5,0.0,1.0
7,SAC,1,20.362288137281062,72.9,1.0,1.0
8,SAC,1,18.60210854818335,73.0,3.0,1.0
9,SAC,1,17.24444903673621,72.53846153846153,1.0,1.0
10,SAC,1,17.944839979263676,72.61538461538461,1.0,0.0
4,SAS,1,15.392612460981647,66.0,0.0,0.0
5,SAS,1,17.72480361075577,68.13333333333334,0.0,0.0
6,SAS,1,16.639562903472765,71.91666666666667,2.0,0.0
7,SAS,1,17.242887215793687,72.0,0.0,0.0
8,SAS,1,17.986958917482156,72.0,1.0,1.0
9,SAS,1,17.712207009053056,71.0,1.0,1.0
10,SAS,1,18.66422858703766,70.77777777777777,2.0,1.0
11,SAS,1,18.663141975580043,71.4,2.0,-1.0
1,SEA,1,15.0,72.21428571428571,0.0,0.0
2,SEA,1,9.973721163569572,73.15384615384616,0.0,0.0
3,SEA,1,16.897310335960732,71.86666666666666,0.0,1.0
4,SEA,1,16.52396419161454,72.07142857142857,0.0,0.0
5,SEA,1,19.33358579500859,72.41666666666667,2.0,1.0
6,SEA,1,17.987643840910813,73.15384615384616,3.0,1.0
7,SEA,1,16.291146894039393,72.85714285714286,4.0,1.0
8,SEA,1,17.060231734387564,72.92857142857143,6.0,1.0
9,SEA,1,21.994570573004,73.28571428571429,15.0,1.0
10,SEA,1,19.862283638549865,72.46153846153847,5.0,1.0
11,SEA,1,19.29356500933193,72.83333333333333,8.0,-1.0
11,TUL,1,18.480011694022597,72.4,10.0,-1.0
1,UTA,1,15.0,68.0,0.0,0.0
2,UTA,1,18.291473158436503,66.41666666666667,0.0,1.0
3,UTA,1,17.37378064885447,66.6923076923077,0.0,1.0
1,WAS,0,15.0,72.46153846153847,0.0,1.0
2,WAS,0,15.406271983488567,72.28571428571429,0.0,0.0
3,WAS,0,14.674816650428328,72.0,0.0,1.0
4,WAS,0,16.22598867489486,71.21428571428571,1.0,0.0
5,WAS,0,18.187578225588407,72.16666666666667,1.0,1.0
6,WAS,0,15.92209420773785,71.0,1.0,0.0
7,WAS,0,18.873521783852453,71.83333333333333,2.0,1.0
8,WAS,0,18.314122775388554,72.6,2.0,0.0
9,WAS,0,18.359448538461088,71.625,2.0,0.0
10,WAS,0,17.85662229409452,72.16666666666667,0.0,1.0
11,WAS,0,17.85871576775144,72.6923076923077,2.0,-1.0
