year,tmID,confID,avg_per,avg_height,players_awarded,playoff
3,POR,WE,16.09601096120513,71.6923076923077,1.0,N
1,SAC,WE,15.0,71.16666666666667,0.0,Y
2,SAC,WE,18.706559138342275,71.76923076923077,0.0,Y
3,SAC,WE,18.352965923705415,72.64285714285714,0.0,N
4,SAC,WE,18.069336130063665,72.63636363636364,0.0,Y
5,SAC,WE,18.257782302427458,72.5,1.0,Y
6,SAC,WE,18.922669442240306,72.5,0.0,Y
7,SAC,WE,20.362288137281066,72.9,1.0,Y
8,SAC,WE,18.60210854818335,73.0,3.0,Y
9,SAC,WE,17.24444903673621,72.53846153846153,1.0,Y
10,SAC,WE,17.944839979263676,72.61538461538461,1.0,N
4,SAS,WE,15.392612460981647,66.0,0.0,N
5,SAS,WE,17.72480361075577,68.13333333333334,0.0,N
6,SAS,WE,16.639562903472765,71.91666666666667,2.0,N
7,SAS,WE,17.242887215793687,72.0,0.0,N
8,SAS,WE,17.986958917482156,72.0,1.0,Y
9,SAS,WE,17.712207009053056,71.0,1.0,Y
10,SAS,WE,18.66422858703766,70.77777777777777,2.0,Y
11,SAS,WE,18.663141975580043,71.4,2.0,
1,SEA,WE,15.0,72.21428571428571,0.0,N
2,SEA,WE,9.973721163569573,73.15384615384616,0.0,N
3,SEA,WE,16.897310335960732,71.86666666666666,0.0,Y
4,SEA,WE,16.52396419161454,72.07142857142857,0.0,N
5,SEA,WE,19.33358579500859,72.41666666666667,2.0,Y
6,SEA,WE,17.987643840910813,73.15384615384616,3.0,Y
7,SEA,WE,16.291146894039393,72.85714285714286,4.0,Y
8,SEA,WE,17.060231734387564,72.92857142857143,6.0,Y
9,SEA,WE,21.994570573004,73.28571428571429,15.0,Y
10,SEA,WE,19.862283638549865,72.46153846153847,5.0,Y
11,SEA,WE,19.293565009331935,72.83333333333333,8.0,
11,TUL,WE,18.480011694022593,72.4,10.0,
1,UTA,WE,15.0,68.0,0.0,N
2,UTA,WE,18.291473158436503,66.41666666666667,0.0,Y
3,UTA,WE,17.37378064885447,66.6923076923077,0.0,Y
1,WAS,EA,15.0,72.46153846153847,0.0,Y
2,WAS,EA,15.406271983488569,72.28571428571429,0.0,N
3,WAS,EA,14.674816650428328,72.0,0.0,Y
4,WAS,EA,16.22598867489486,71.21428571428571,1.0,N
5,WAS,EA,18.187578225588407,72.16666666666667,1.0,Y
6,WAS,EA,15.92209420773785,71.0,1.0,N
7,WAS,EA,18.873521783852453,71.83333333333333,2.0,Y
8,WAS,EA,18.314122775388554,72.6,2.0,N
9,WAS,EA,18.359448538461088,71.625,2.0,N
10,WAS,EA,17.85662229409452,72.16666666666667,0.0,Y
11,WAS,EA,17.85871576775144,72.6923076923077,2.0,
